FAMILY CODE,ICD Code
0657-050-033-1100A,L70.0
0657-050-033-11001,L70.0
5037-050-033-05001,L70.0
0720-193-033-05001,L70.0
0657-050-033-13001,L70.0
0657-050-033-1300A,L70.0
0720-04E-035-05001,L70.0
0657-04E-035-1000A,L70.0
0657-04E-035-1100A,L70.0
0657-027-04A-07014,L70.0
0657-027-04A-0600E,L70.0
0657-027-04A-01014,L70.0
0657-027-04A-0700A,L70.0
0657-027-04A-07064,L70.0
0657-027-04A-01064,L70.0
0657-027-04A-0600F,L70.0
0657-027-04A-0700E,L70.0
0657-027-04A-0100F,L70.0
5037-027-04A-03014,L70.0
5037-027-04A-0301C,L70.0
5037-075-04A-0100E,L70.0
5037-075-04A-03014,L70.0
0720-055-04A-01001,L70.0
0720-091-04A-02006,L70.0
0720-055-04A-03001,L70.0
0720-055-04A-08001,L70.0
0720-091-04A-02004,L70.0
0720-027-04A-05003,L70.0
0720-055-04A-09001,L70.0
0720-027-04A-02006,L70.0
0720-027-04A-05006,L70.0
0720-051-04A-01001,L70.0
4634-027-04A-01003,L70.0
4634-075-04A-01003,L70.0
4634-075-04A-01006,L70.0
4634-006-04A-02006,L70.0
4634-051-04A-03001,L70.0
0657-075-04A-01014,L70.0
0657-055-04A-03001,L70.0
0657-055-04A-04001,L70.0
0657-055-04A-05001,L70.0
0657-075-04A-0600E,L70.0
0657-075-04A-0700F,L70.0
0657-055-04A-08001,L70.0
0657-075-04A-07014,L70.0
0657-0D7-04A-08001,L70.0
0657-0D1-04A-08001,L70.0
0657-0D7-04A-04001,L70.0
0657-0D7-04A-05001,L70.0
0657-0D7-04A-03001,L70.0
0657-055-04A-14001,L70.0
0657-055-04A-26001,L70.0
0657-051-04A-04001,L70.0
0657-011-04A-0100F,L70.0
0657-051-04A-05001,L70.0
0657-051-04A-29001,L70.0
5037-027-04A-0100E,L70.0
5037-055-04A-02001,L70.0
5037-055-04A-04001,L70.0
0657-050-033-1100A,L72.0
0657-050-033-11001,L72.0
5037-050-033-05001,L72.0
0720-193-033-05001,L72.0
0657-050-033-13001,L72.0
0657-050-033-1300A,L72.0
0720-04E-035-05001,L72.0
0657-04E-035-1000A,L72.0
0657-04E-035-1100A,L72.0
0657-027-04A-07014,L72.0
0657-027-04A-0600E,L72.0
0657-027-04A-01014,L72.0
0657-027-04A-0700A,L72.0
0657-027-04A-07064,L72.0
0657-027-04A-01064,L72.0
0657-027-04A-0600F,L72.0
0657-027-04A-0700E,L72.0
0657-027-04A-0100F,L72.0
5037-027-04A-03014,L72.0
5037-027-04A-0301C,L72.0
5037-075-04A-0100E,L72.0
5037-075-04A-03014,L72.0
0720-055-04A-01001,L72.0
0720-091-04A-02006,L72.0
0720-055-04A-03001,L72.0
0720-055-04A-08001,L72.0
0720-091-04A-02004,L72.0
0720-027-04A-05003,L72.0
0720-055-04A-09001,L72.0
0720-027-04A-02006,L72.0
0720-027-04A-05006,L72.0
0720-051-04A-01001,L72.0
4634-027-04A-01003,L72.0
4634-075-04A-01003,L72.0
4634-075-04A-01006,L72.0
4634-006-04A-02006,L72.0
4634-051-04A-03001,L72.0
0657-075-04A-01014,L72.0
0657-055-04A-03001,L72.0
0657-055-04A-04001,L72.0
0657-055-04A-05001,L72.0
0657-075-04A-0600E,L72.0
0657-075-04A-0700F,L72.0
0657-055-04A-08001,L72.0
0657-075-04A-07014,L72.0
0657-0D7-04A-08001,L72.0
0657-0D1-04A-08001,L72.0
0657-0D7-04A-04001,L72.0
0657-0D7-04A-05001,L72.0
0657-0D7-04A-03001,L72.0
0657-055-04A-14001,L72.0
0657-055-04A-26001,L72.0
0657-051-04A-04001,L72.0
0657-011-04A-0100F,L72.0
0657-051-04A-05001,L72.0
0657-051-04A-29001,L72.0
5037-027-04A-0100E,L72.0
5037-055-04A-02001,L72.0
5037-055-04A-04001,L72.0
0657-050-033-1100A,H65.02
0657-050-033-11001,H65.02
5037-050-033-05001,H65.02
0720-193-033-05001,H65.02
0657-050-033-13001,H65.02
0657-050-033-1300A,H65.02
0720-04E-035-05001,H65.02
0657-04E-035-1000A,H65.02
0657-04E-035-1100A,H65.02
0657-027-04A-07014,H65.02
0657-027-04A-0600E,H65.02
0657-027-04A-01014,H65.02
0657-027-04A-0700A,H65.02
0657-027-04A-07064,H65.02
0657-027-04A-01064,H65.02
0657-027-04A-0600F,H65.02
0657-027-04A-0700E,H65.02
0657-027-04A-0100F,H65.02
5037-027-04A-03014,H65.02
5037-027-04A-0301C,H65.02
5037-075-04A-0100E,H65.02
5037-075-04A-03014,H65.02
0720-055-04A-01001,H65.02
0720-091-04A-02006,H65.02
0720-055-04A-03001,H65.02
0720-055-04A-08001,H65.02
0720-091-04A-02004,H65.02
0720-027-04A-05003,H65.02
0720-055-04A-09001,H65.02
0720-027-04A-02006,H65.02
0720-027-04A-05006,H65.02
0720-051-04A-01001,H65.02
4634-027-04A-01003,H65.02
4634-075-04A-01003,H65.02
4634-075-04A-01006,H65.02
4634-006-04A-02006,H65.02
4634-051-04A-03001,H65.02
0657-075-04A-01014,H65.02
0657-055-04A-03001,H65.02
0657-055-04A-04001,H65.02
0657-055-04A-05001,H65.02
0657-075-04A-0600E,H65.02
0657-075-04A-0700F,H65.02
0657-055-04A-08001,H65.02
0657-075-04A-07014,H65.02
0657-0D7-04A-08001,H65.02
0657-0D1-04A-08001,H65.02
0657-0D7-04A-04001,H65.02
0657-0D7-04A-05001,H65.02
0657-0D7-04A-03001,H65.02
0657-055-04A-14001,H65.02
0657-055-04A-26001,H65.02
0657-051-04A-04001,H65.02
0657-011-04A-0100F,H65.02
0657-051-04A-05001,H65.02
0657-051-04A-29001,H65.02
5037-027-04A-0100E,H65.02
5037-055-04A-02001,H65.02
5037-055-04A-04001,H65.02
0657-050-033-1100A,R68.83
0657-050-033-11001,R68.83
5037-050-033-05001,R68.83
0720-193-033-05001,R68.83
0657-050-033-13001,R68.83
0657-050-033-1300A,R68.83
0720-04E-035-05001,R68.83
0657-04E-035-1000A,R68.83
0657-04E-035-1100A,R68.83
0657-027-04A-07014,R68.83
0657-027-04A-0600E,R68.83
0657-027-04A-01014,R68.83
0657-027-04A-0700A,R68.83
0657-027-04A-07064,R68.83
0657-027-04A-01064,R68.83
0657-027-04A-0600F,R68.83
0657-027-04A-0700E,R68.83
0657-027-04A-0100F,R68.83
5037-027-04A-03014,R68.83
5037-027-04A-0301C,R68.83
5037-075-04A-0100E,R68.83
5037-075-04A-03014,R68.83
0720-055-04A-01001,R68.83
0720-091-04A-02006,R68.83
0720-055-04A-03001,R68.83
0720-055-04A-08001,R68.83
0720-091-04A-02004,R68.83
0720-027-04A-05003,R68.83
0720-055-04A-09001,R68.83
0720-027-04A-02006,R68.83
0720-027-04A-05006,R68.83
0720-051-04A-01001,R68.83
4634-027-04A-01003,R68.83
4634-075-04A-01003,R68.83
4634-075-04A-01006,R68.83
4634-006-04A-02006,R68.83
4634-051-04A-03001,R68.83
0657-075-04A-01014,R68.83
0657-055-04A-03001,R68.83
0657-055-04A-04001,R68.83
0657-055-04A-05001,R68.83
0657-075-04A-0600E,R68.83
0657-075-04A-0700F,R68.83
0657-055-04A-08001,R68.83
0657-075-04A-07014,R68.83
0657-0D7-04A-08001,R68.83
0657-0D1-04A-08001,R68.83
0657-0D7-04A-04001,R68.83
0657-0D7-04A-05001,R68.83
0657-0D7-04A-03001,R68.83
0657-055-04A-14001,R68.83
0657-055-04A-26001,R68.83
0657-051-04A-04001,R68.83
0657-011-04A-0100F,R68.83
0657-051-04A-05001,R68.83
0657-051-04A-29001,R68.83
5037-027-04A-0100E,R68.83
5037-055-04A-02001,R68.83
5037-055-04A-04001,R68.83
0657-050-033-1100A,J32.0
0657-050-033-11001,J32.0
5037-050-033-05001,J32.0
0720-193-033-05001,J32.0
0657-050-033-13001,J32.0
0657-050-033-1300A,J32.0
0720-04E-035-05001,J32.0
0657-04E-035-1000A,J32.0
0657-04E-035-1100A,J32.0
0657-027-04A-07014,J32.0
0657-027-04A-0600E,J32.0
0657-027-04A-01014,J32.0
0657-027-04A-0700A,J32.0
0657-027-04A-07064,J32.0
0657-027-04A-01064,J32.0
0657-027-04A-0600F,J32.0
0657-027-04A-0700E,J32.0
0657-027-04A-0100F,J32.0
5037-027-04A-03014,J32.0
5037-027-04A-0301C,J32.0
5037-075-04A-0100E,J32.0
5037-075-04A-03014,J32.0
0720-055-04A-01001,J32.0
0720-091-04A-02006,J32.0
0720-055-04A-03001,J32.0
0720-055-04A-08001,J32.0
0720-091-04A-02004,J32.0
0720-027-04A-05003,J32.0
0720-055-04A-09001,J32.0
0720-027-04A-02006,J32.0
0720-027-04A-05006,J32.0
0720-051-04A-01001,J32.0
4634-027-04A-01003,J32.0
4634-075-04A-01003,J32.0
4634-075-04A-01006,J32.0
4634-006-04A-02006,J32.0
4634-051-04A-03001,J32.0
0657-075-04A-01014,J32.0
0657-055-04A-03001,J32.0
0657-055-04A-04001,J32.0
0657-055-04A-05001,J32.0
0657-075-04A-0600E,J32.0
0657-075-04A-0700F,J32.0
0657-055-04A-08001,J32.0
0657-075-04A-07014,J32.0
0657-0D7-04A-08001,J32.0
0657-0D1-04A-08001,J32.0
0657-0D7-04A-04001,J32.0
0657-0D7-04A-05001,J32.0
0657-0D7-04A-03001,J32.0
0657-055-04A-14001,J32.0
0657-055-04A-26001,J32.0
0657-051-04A-04001,J32.0
0657-011-04A-0100F,J32.0
0657-051-04A-05001,J32.0
0657-051-04A-29001,J32.0
5037-027-04A-0100E,J32.0
5037-055-04A-02001,J32.0
5037-055-04A-04001,J32.0
0657-050-033-1100A,R50.9
0657-050-033-11001,R50.9
5037-050-033-05001,R50.9
0720-193-033-05001,R50.9
0657-050-033-13001,R50.9
0657-050-033-1300A,R50.9
0720-04E-035-05001,R50.9
0657-04E-035-1000A,R50.9
0657-04E-035-1100A,R50.9
0657-027-04A-07014,R50.9
0657-027-04A-0600E,R50.9
0657-027-04A-01014,R50.9
0657-027-04A-0700A,R50.9
0657-027-04A-07064,R50.9
0657-027-04A-01064,R50.9
0657-027-04A-0600F,R50.9
0657-027-04A-0700E,R50.9
0657-027-04A-0100F,R50.9
5037-027-04A-03014,R50.9
5037-027-04A-0301C,R50.9
5037-075-04A-0100E,R50.9
5037-075-04A-03014,R50.9
