FAMILY CODE,ICD Code
0834-0A3-04A-05001,I45.81
3546-027-04A-0101E,I45.81
3546-027-04A-0201E,I45.81
0834-027-04A-0101C,I45.81
0834-027-04A-0201C,I45.81
2583-027-04A-01064,I45.81
2583-027-04A-02064,I45.81
2583-027-04A-0201E,I45.81
0834-027-04A-01064,I45.81
0834-027-04A-0401C,I45.81
0834-027-04A-0101E,I45.81
0834-027-04A-0200A,I45.81
0834-027-04A-0100A,I45.81
0834-027-04A-0201E,I45.81
0834-122-04A-0201E,I45.81
0834-122-04A-0101E,I45.81
2583-027-04A-0101E,I45.81
0834-075-04A-0201E,I45.81
0834-075-04A-0101E,I45.81
0834-075-04A-02064,I45.81
0834-075-04A-01064,I45.81
0716-094-04A-0101E,O12.00
0716-061-04A-0101E,O12.00
0716-006-04A-0101E,O12.00
2850-091-04A-0101E,O12.00
1428-027-04A-0101C,O12.00
1428-075-04A-0201C,O12.00
1428-075-04A-0203C,O12.00
1428-027-04A-0301E,O12.00
1428-027-04A-0201C,O12.00
1428-027-04A-0201E,O12.00
1428-027-04A-02096,O12.00
1428-027-04A-01064,O12.00
1428-027-04A-0101E,O12.00
1428-075-04A-0301E,O12.00
2850-006-04A-0101E,O12.00
0716-094-04A-0101E,O99.011
0716-061-04A-0101E,O99.011
0716-006-04A-0101E,O99.011
2850-091-04A-0101E,O99.011
1428-027-04A-0101C,O99.011
1428-075-04A-0201C,O99.011
1428-075-04A-0203C,O99.011
1428-027-04A-0301E,O99.011
1428-027-04A-0201C,O99.011
1428-027-04A-0201E,O99.011
1428-027-04A-02096,O99.011
1428-027-04A-01064,O99.011
1428-027-04A-0101E,O99.011
1428-075-04A-0301E,O99.011
2850-006-04A-0101E,O99.011
0716-094-04A-0101E,O99.019
0716-061-04A-0101E,O99.019
0716-006-04A-0101E,O99.019
2850-091-04A-0101E,O99.019
1428-027-04A-0101C,O99.019
1428-075-04A-0201C,O99.019
1428-075-04A-0203C,O99.019
1428-027-04A-0301E,O99.019
1428-027-04A-0201C,O99.019
1428-027-04A-0201E,O99.019
1428-027-04A-02096,O99.019
1428-027-04A-01064,O99.019
1428-027-04A-0101E,O99.019
1428-075-04A-0301E,O99.019
2850-006-04A-0101E,O99.019
0716-094-04A-0101E,Z34.80
0716-061-04A-0101E,Z34.80
0716-006-04A-0101E,Z34.80
2850-091-04A-0101E,Z34.80
1428-027-04A-0101C,Z34.80
1428-075-04A-0201C,Z34.80
1428-075-04A-0203C,Z34.80
1428-027-04A-0301E,Z34.80
1428-027-04A-0201C,Z34.80
1428-027-04A-0201E,Z34.80
1428-027-04A-02096,Z34.80
1428-027-04A-01064,Z34.80
1428-027-04A-0101E,Z34.80
1428-075-04A-0301E,Z34.80
2850-006-04A-0101E,Z34.80
0716-094-04A-0101E,Z34.81
0716-061-04A-0101E,Z34.81
0716-006-04A-0101E,Z34.81
2850-091-04A-0101E,Z34.81
1428-027-04A-0101C,Z34.81
1428-075-04A-0201C,Z34.81
1428-075-04A-0203C,Z34.81
1428-027-04A-0301E,Z34.81
1428-027-04A-0201C,Z34.81
1428-027-04A-0201E,Z34.81
1428-027-04A-02096,Z34.81
1428-027-04A-01064,Z34.81
1428-027-04A-0101E,Z34.81
1428-075-04A-0301E,Z34.81
2850-006-04A-0101E,Z34.81
0716-094-04A-0101E,Z34.82
0716-061-04A-0101E,Z34.82
0716-006-04A-0101E,Z34.82
2850-091-04A-0101E,Z34.82
1428-027-04A-0101C,Z34.82
1428-075-04A-0201C,Z34.82
1428-075-04A-0203C,Z34.82
1428-027-04A-0301E,Z34.82
1428-027-04A-0201C,Z34.82
1428-027-04A-0201E,Z34.82
1428-027-04A-02096,Z34.82
1428-027-04A-01064,Z34.82
1428-027-04A-0101E,Z34.82
1428-075-04A-0301E,Z34.82
2850-006-04A-0101E,Z34.82
0716-094-04A-0101E,Z34.83
0716-061-04A-0101E,Z34.83
0716-006-04A-0101E,Z34.83
2850-091-04A-0101E,Z34.83
1428-027-04A-0101C,Z34.83
1428-075-04A-0201C,Z34.83
1428-075-04A-0203C,Z34.83
1428-027-04A-0301E,Z34.83
1428-027-04A-0201C,Z34.83
1428-027-04A-0201E,Z34.83
1428-027-04A-02096,Z34.83
1428-027-04A-01064,Z34.83
1428-027-04A-0101E,Z34.83
1428-075-04A-0301E,Z34.83
2850-006-04A-0101E,Z34.83
1197-027-04A-0101E,K74.60
1197-027-04A-0201E,K74.60
1197-027-04A-0301E,K74.60
1197-027-04A-02064,K74.60
1197-027-04A-03064,K74.60
1197-027-04A-0401E,K74.60
1197-027-04A-0501E,K74.60
1197-027-04A-0201C,K74.60
1197-027-04A-0301C,K74.60
1197-027-04A-0101C,K74.60
1197-027-04A-0401C,K74.60
1197-075-04A-0401E,K74.60
1197-075-04A-0101E,K74.60
2182-027-04A-0101E,K74.60
2182-027-04A-0201E,K74.60
2182-027-04A-0301E,K74.60
2182-075-04A-0301E,K74.60
2182-075-04A-0201E,K74.60
